timestamp,ETo z6-11012 - Port 5 mm
"January 8, 2022",2.5
"January 9, 2022",3.8
"January 10, 2022",3.1
"January 11, 2022",2.5
"January 12, 2022",2.5
"January 13, 2022",3.6
"January 14, 2022",1.2
"January 15, 2022",2
"January 16, 2022",2.2
"January 17, 2022",2.3
"January 18, 2022",3.1
"January 19, 2022",2.2
"January 20, 2022",2.6
"January 21, 2022",2.2
"January 22, 2022",2.5
"January 23, 2022",2.8
"January 24, 2022",3.5
"January 25, 2022",3.6
"January 26, 2022",3.7
"January 27, 2022",3.8
"January 28, 2022",2.9
"January 29, 2022",3.6
"January 30, 2022",3.7
"January 31, 2022",3.8
"February 1, 2022",3.4
"February 2, 2022",3
"February 3, 2022",4.6
"February 4, 2022",5
"February 5, 2022",3.5
"February 6, 2022",2.8
"February 7, 2022",2.7
"February 8, 2022",3
"February 9, 2022",4.4
"February 10, 2022",5.2
"February 11, 2022",4.2
"February 12, 2022",3.9
"February 13, 2022",3.6
"February 14, 2022",3.1
"February 15, 2022",3.9
"February 16, 2022",4.3
"February 17, 2022",4.6
"February 18, 2022",5.2
"February 19, 2022",6
"February 20, 2022",4.9
"February 21, 2022",4
"February 22, 2022",3.5
"February 23, 2022",4.8
"February 24, 2022",6.4
"February 25, 2022",5
"February 26, 2022",4
"February 27, 2022",4
"February 28, 2022",4
"March 1, 2022",5
"March 2, 2022",6.7
"March 3, 2022",8.8
"March 4, 2022",5.7
"March 5, 2022",3.5
"March 6, 2022",4.8
"March 7, 2022",6.6
"March 8, 2022",4.7
"March 9, 2022",5.9
"March 10, 2022",8
"March 11, 2022",6.2
"March 12, 2022",5.7
"March 13, 2022",5.1
"March 14, 2022",4.8
"March 15, 2022",5.5
"March 16, 2022",4.9
"March 17, 2022",3.8
"March 18, 2022",4.3
"March 19, 2022",5.3
"March 20, 2022",5.9
"March 21, 2022",5.8
"March 22, 2022",5.5
"March 23, 2022",6.8
"March 24, 2022",5.8
"March 25, 2022",5.9
"March 26, 2022",5.2
"March 27, 2022",4.6
"March 28, 2022",5
"March 29, 2022",4.8
"March 30, 2022",6.2
"March 31, 2022",6.8
"April 1, 2022",6.4
"April 2, 2022",5.7
"April 3, 2022",6
"April 4, 2022",5.9
"April 5, 2022",6.4
"April 6, 2022",8.6
"April 7, 2022",6.3